Word,Original,Revised,Growth Rate (%)
is,188362.99,155427.94,-17.484883840503908
are,60992.85,46485.79,-23.78485347052974
significant,6226.98,35621.45,472.0501752053162
comprehensive,342.29,1358.04,296.7512927634462
enhance,118.48,2145.71,1711.0313977042538
significantly,1895.74,7577.88,299.7320307637123
effectively,1040.02,3055.6,193.80204226841792
capabilities,276.46,964.21,248.77016566591917
valuable,1250.66,1901.26,52.02053315849231
crucial,421.28,4590.18,989.5793771363466
additionally,513.43,13865.61,2600.5843055528508
